Molecule,Category,Brand,SKU,Value25,Unit25,GrowthValue25,GrowthUnit25
 CCL,  METFORMIN+SITAGLIPTIN,   SITAMET            C.C,,"3,446,502,117","6,882,945",24.88,11.95
 GETZ PHARMA,  METFORMIN+SITAGLIPTIN,   TREVIAMET          GTZ,,"1,596,802,271","1,830,721",6.85,-43.97
 HILTON,  METFORMIN+SITAGLIPTIN,   SITAGLU MET        HL.,,"1,585,115,377","2,157,361",13.63,-34.85
 PHARMEVO PVT. LTD.,  METFORMIN+SITAGLIPTIN,   INOSITA PLUS       PV-,,"978,437,912","1,106,269",13.70,2.30
 HIGHNOON,  METFORMIN+SITAGLIPTIN,   TAGIPMET           HIG,,"500,085,079","820,467",4.46,-32.71
 SAMI,  METFORMIN+SITAGLIPTIN,   ITAGLIP PLUS       SAM,,"411,687,407","961,888",18.57,6.87
 THE SEARLE COMPANY,  METFORMIN+SITAGLIPTIN,   JENTIN MET         SEA,,"330,096,978","834,617",-33.45,-33.73
 MARTIN DOW MARKER,  METFORMIN+SITAGLIPTIN,   SITAPHAGE          MDM,,"303,382,321","779,746",25.72,17.88
 GENIX PHARMA,  METFORMIN+SITAGLIPTIN,   GVIA-M             GX4,,"238,274,006","289,007",15.43,-39.33
 MARTIN DOW LIMITED,  METFORMIN+SITAGLIPTIN,   DUVEL PLUS         MD.,,"176,211,294","383,165",68.37,38.32
 ATCO,  METFORMIN+SITAGLIPTIN,   NEOGLIP            AT3,,"175,616,265","360,624",12.34,7.85
 FEROZSONS,  METFORMIN+SITAGLIPTIN,   SITAGEN-M          FZS,,"172,543,235","231,461",-12.44,-16.71
 SCILIFE,  METFORMIN+SITAGLIPTIN,   GLUSIMET           SC1,,"163,424,123","201,553",-5.02,-16.79
 AGP LIMITED,  METFORMIN+SITAGLIPTIN,   GLYZIAMET          A.G,,"92,339,878","210,326",33.14,23.82
 MSD,  METFORMIN+SITAGLIPTIN,   JANUMET            MSD,,"72,208,558","54,807",115.78,93.37
 SAFFRON PHARMA,  METFORMIN+SITAGLIPTIN,   ALOSITA-MET        SAF,,"62,029,336","151,202",14.26,-3.31
 MACTER,  METFORMIN+SITAGLIPTIN,   SILO-M             MTR,,"61,702,164","137,081",-8.77,-13.56
 SHAIGAN PHARMA,  METFORMIN+SITAGLIPTIN,   ADMIT              SHM,,"55,140,540","143,027",7.06,0.53
 NABIQASIM,  METFORMIN+SITAGLIPTIN,   GLYTEC-M           NQM,,"50,340,617","110,540",-11.42,-23.11
 CELL LABORATORIES,  METFORMIN+SITAGLIPTIN,   SITAZAN            .A2,,"45,547,917","172,351",21.26,21.22
 HIGHNOON,  METFORMIN+SITAGLIPTIN,   TAGIPMET           HIG,,"1,067,810,453","1,601,730",28.67,-10.13
 CCL,  METFORMIN+SITAGLIPTIN,   SITAMET            C.C,,"573,632,259","947,041",28.32,13.47
 GETZ PHARMA,  METFORMIN+SITAGLIPTIN,   TREVIAMET          GTZ,,"523,751,494","912,354",2.89,-6.59
 PHARMEVO PVT. LTD.,  METFORMIN+SITAGLIPTIN,   INOSITA PLUS       PV-,,"370,309,177","702,680",33.58,21.58
 HILTON,  METFORMIN+SITAGLIPTIN,   SITAGLU MET        HL.,,"297,218,840","367,097",37.54,-23.06
 NABIQASIM,  METFORMIN+SITAGLIPTIN,   GLYTEC-M           NQM,,"80,720,246","151,971",16.13,-1.08
 FEROZSONS,  METFORMIN+SITAGLIPTIN,   SITAGEN-M          FZS,,"48,654,382","91,804",11.78,1.61
 ATCO,  METFORMIN+SITAGLIPTIN,   NEOGLIP            AT3,,"46,419,482","91,323",28.52,24.39
 MARTIN DOW LIMITED,  METFORMIN+SITAGLIPTIN,   DUVEL PLUS         MD.,,"31,915,007","65,173",122.66,90.24
 GENIX PHARMA,  METFORMIN+SITAGLIPTIN,   GVIA-M             GX4,,"30,923,450","74,525",30.39,18.31
 SCILIFE,  METFORMIN+SITAGLIPTIN,   GLUSIMET           SC1,,"28,764,200","59,526",9.92,3.85
 THE SEARLE COMPANY,  METFORMIN+SITAGLIPTIN,   JENTIN MET         SEA,,"12,146,165","29,189",-58.14,-57.52
 SCOTMANN PHARMA,  METFORMIN+SITAGLIPTIN,   TRAPEZE PLUS       SC2,,"222,253",650,-80.08,-81.92
 SAMI,  METFORMIN+SITAGLIPTIN,   ITAGLIP PLUS       SAM,,"86,556,194","201,449",309.51,299.50
 MARTIN DOW MARKER,  METFORMIN+SITAGLIPTIN,   SITAPHAGE          MDM,,"32,575,720","75,920",999.00,999.00
 ASPIN PHARMA PVT.,  METFORMIN+SITAGLIPTIN,   JANTOVIA-M         A-V,,"4,942,499","13,720",-48.92,-50.66
 HORIZON HEALTHCARE,  METFORMIN+SITAGLIPTIN,   SITAZEE-M          HHC,,"3,456,712","7,262",999.00,999.00
 BARRETT HODGSON,  METFORMIN+SITAGLIPTIN,   S-GLIPTIN PLUS     BGO,,"94,741,778","210,810",-1.26,-12.91
